Ticker,Factor,p-value
360ONE,IndianBondYieldRate_stationary,0.046
3MINDIA,EBITDA_stationary,0.0004
3MINDIA,Market-Cap-Sales_stationary,0.0029
3MINDIA,PriceToBookValue_stationary,0.0061
3MINDIA,50DayMA_stationary,0.0101
3MINDIA,GPM_stationary,0.0103
3MINDIA,CBOE_stationary,0.0228
3MINDIA,CrudeOil_stationary,0.037
3MINDIA,Volume_stationary,0.0419
AARTIIND,Dollar-INR_stationary,0.0009
AARTIIND,50DayMA_stationary,0.0242
AARTIIND,100DayMA_stationary,0.027
AARTIIND,Market-Cap-Sales_stationary,0.0498
AAVAS,CBOE_stationary,0.0122
AAVAS,Dollar-INR_stationary,0.0165
AAVAS,GDP_stationary,0.0246
AAVAS,PriceToBookValue_stationary,0.0349
ABB,100DayMA_stationary,0.0
ABB,50DayMA_stationary,0.0
ABB,PriceToBookValue_stationary,0.0001
ABB,Volume_stationary,0.0012
ABB,Market-Cap-Sales_stationary,0.0183
ABBOTINDIA,Volume_stationary,0.0004
ABBOTINDIA,50DayMA_stationary,0.0158
ABBOTINDIA,100DayMA_stationary,0.028
ABBOTINDIA,GPM_stationary,0.0361
ABCAPITAL,Market-Cap-Sales_stationary,0.0001
ABCAPITAL,Volume_stationary,0.0004
ABCAPITAL,50DayMA_stationary,0.0013
ABCAPITAL,PriceToBookValue_stationary,0.0014
ABCAPITAL,NPM_stationary,0.0044
ABCAPITAL,100DayMA_stationary,0.0177
ABCAPITAL,BookValue_stationary,0.0232
ABFRL,PriceToBookValue_stationary,0.0001
ABFRL,Market-Cap-Sales_stationary,0.0001
ABFRL,Sales_stationary,0.0114
ABFRL,CrudeOil_stationary,0.0176
ABFRL,100DayMA_stationary,0.0214
ABFRL,EBITDA_stationary,0.0216
ABFRL,50DayMA_stationary,0.0478
ABREL,50DayMA_stationary,0.0005
ABREL,Sales_stationary,0.0029
ABREL,OPM_stationary,0.0047
ABREL,Market-Cap-Sales_stationary,0.0131
ABREL,PriceToBookValue_stationary,0.0376
ABSLAMC,50DayMA_stationary,0.0051
ABSLAMC,Market-Cap-Sales_stationary,0.0139
ABSLAMC,BookValue_stationary,0.0437
ABSLAMC,GDP_stationary,0.0487
ACC,PriceToBookValue_stationary,0.0103
ACC,Volume_stationary,0.015
ACE,50DayMA_stationary,0.0
ACE,PriceToBookValue_stationary,0.0001
ACE,Market-Cap-Sales_stationary,0.0005
ACE,100DayMA_stationary,0.0014
ACE,EBITDA_stationary,0.0022
ACE,Volume_stationary,0.0162
ACI,Volume_stationary,0.0092
ADANIENSOL,PriceToBookValue_stationary,0.0
ADANIENSOL,Market-Cap-Sales_stationary,0.0
ADANIENSOL,50DayMA_stationary,0.0135
ADANIENSOL,GPM_stationary,0.0173
ADANIENSOL,IndianBondYieldRate_stationary,0.0226
ADANIENSOL,CrudeOil_stationary,0.0261
ADANIENT,50DayMA_stationary,0.0001
ADANIENT,Market-Cap-Sales_stationary,0.0006
ADANIENT,PriceToBookValue_stationary,0.0041
ADANIENT,BookValue_stationary,0.0064
ADANIENT,100DayMA_stationary,0.0192
ADANIENT,inflation-Monthly_stationary,0.0297
ADANIENT,Volume_stationary,0.031
ADANIGREEN,BookValue_stationary,0.0
ADANIGREEN,PriceToBookValue_stationary,0.0
ADANIGREEN,Market-Cap-Sales_stationary,0.0
ADANIGREEN,IndianBondYieldRate_stationary,0.0093
ADANIPORTS,BookValue_stationary,0.0
ADANIPORTS,Volume_stationary,0.011
ADANIPORTS,50DayMA_stationary,0.0231
ADANIPORTS,inflation-Monthly_stationary,0.0386
ADANIPOWER,Market-Cap-Sales_stationary,0.0
ADANIPOWER,Volume_stationary,0.0084
AEGISLOG,Volume_stationary,0.0009
AEGISLOG,50DayMA_stationary,0.0084
AEGISLOG,Market-Cap-Sales_stationary,0.0112
AEGISLOG,100DayMA_stationary,0.0158
AFFLE,BookValue_stationary,0.0
AFFLE,OPM_stationary,0.0
AFFLE,PriceToBookValue_stationary,0.0
AIAENG,EBITDA_stationary,0.0005
AIAENG,Sales_stationary,0.0011
AIAENG,Volume_stationary,0.0168
AIAENG,CrudeOil_stationary,0.0242
AIAENG,100DayMA_stationary,0.0267
AIAENG,50DayMA_stationary,0.0313
AJANTPHARM,EBITDA_stationary,0.0
AJANTPHARM,Sales_stationary,0.0
AJANTPHARM,100DayMA_stationary,0.0
AJANTPHARM,50DayMA_stationary,0.0
AJANTPHARM,Market-Cap-Sales_stationary,0.0283
AJANTPHARM,PriceToBookValue_stationary,0.0328
AJANTPHARM,CrudeOil_stationary,0.0426
AKUMS,Market-Cap-Sales_stationary,0.046
ALKEM,Volume_stationary,0.0003
ALKEM,50DayMA_stationary,0.0003
ALKEM,100DayMA_stationary,0.0016
ALKEM,inflation-Monthly_stationary,0.0421
ALKYLAMINE,GDP_stationary,0.0
ALKYLAMINE,100DayMA_stationary,0.0
ALKYLAMINE,50DayMA_stationary,0.0
ALKYLAMINE,UnemploymentRate_stationary,0.0042
ALKYLAMINE,inflation-yearly_stationary,0.0221
ALOKINDS,Market-Cap-Sales_stationary,0.0
ALOKINDS,50DayMA_stationary,0.0
ALOKINDS,GPM_stationary,0.0001
ALOKINDS,100DayMA_stationary,0.0001
ALOKINDS,UnemploymentRate_stationary,0.0013
ALOKINDS,NPM_stationary,0.0024
ALOKINDS,PriceToBookValue_stationary,0.0053
ALOKINDS,inflation-yearly_stationary,0.0277
ALOKINDS,Dollar-INR_stationary,0.0317
ALOKINDS,Volume_stationary,0.0375
AMBER,EBITDA_stationary,0.0
AMBER,Sales_stationary,0.0
AMBER,PriceToBookValue_stationary,0.0027
AMBER,50DayMA_stationary,0.0049
AMBER,Volume_stationary,0.0073
AMBER,Market-Cap-Sales_stationary,0.0122
AMBUJACEM,BookValue_stationary,0.0
AMBUJACEM,Market-Cap-Sales_stationary,0.0
AMBUJACEM,100DayMA_stationary,0.0031
AMBUJACEM,PriceToBookValue_stationary,0.0058
AMBUJACEM,50DayMA_stationary,0.022
AMBUJACEM,Volume_stationary,0.0392
ANANDRATHI,PriceToBookValue_stationary,0.0
ANANDRATHI,Market-Cap-Sales_stationary,0.0235
ANANDRATHI,BookValue_stationary,0.0376
ANANTRAJ,Market-Cap-Sales_stationary,0.0
ANANTRAJ,100DayMA_stationary,0.0
ANGELONE,EBITDA_stationary,0.0003
ANGELONE,100DayMA_stationary,0.0006
ANGELONE,PriceToBookValue_stationary,0.0023
ANGELONE,OPM_stationary,0.0142
ANGELONE,Market-Cap-Sales_stationary,0.0226
ANGELONE,Dollar-INR_stationary,0.0244
ANGELONE,50DayMA_stationary,0.0269
ANGELONE,NPM_stationary,0.0364
APARINDS,PriceToBookValue_stationary,0.0
APARINDS,50DayMA_stationary,0.0001
APARINDS,BookValue_stationary,0.0003
APARINDS,Market-Cap-Sales_stationary,0.0028
APARINDS,100DayMA_stationary,0.0075
APARINDS,CBOE_stationary,0.0262
APLLTD,EBITDA_stationary,0.0016
APLLTD,50DayMA_stationary,0.0116
APLLTD,Sales_stationary,0.0244
APLLTD,100DayMA_stationary,0.0285
APLLTD,Volume_stationary,0.0422
APLLTD,CrudeOil_stationary,0.0495
APOLLOHOSP,EBITDA_stationary,0.0
APOLLOHOSP,BookValue_stationary,0.0
APOLLOHOSP,Sales_stationary,0.0
APOLLOHOSP,PriceToBookValue_stationary,0.0
APOLLOHOSP,Market-Cap-Sales_stationary,0.015
APOLLOTYRE,100DayMA_stationary,0.009
APOLLOTYRE,EBITDA_stationary,0.0374
APOLLOTYRE,CrudeOil_stationary,0.0444
APTUS,IndianBondYieldRate_stationary,0.0238
APTUS,CrudeOil_stationary,0.0414
ARE&M,Volume_stationary,0.0004
ARE&M,Sales_stationary,0.0004
ARE&M,100DayMA_stationary,0.0242
ARE&M,50DayMA_stationary,0.0304
ASAHIINDIA,Market-Cap-Sales_stationary,0.0
ASAHIINDIA,PriceToBookValue_stationary,0.0001
ASAHIINDIA,Volume_stationary,0.0014
ASAHIINDIA,CrudeOil_stationary,0.0081
ASAHIINDIA,100DayMA_stationary,0.0186
ASHOKLEY,PriceToBookValue_stationary,0.0
ASHOKLEY,BookValue_stationary,0.0115
ASHOKLEY,EBITDA_stationary,0.0156
ASHOKLEY,50DayMA_stationary,0.0265
ASIANPAINT,CrudeOil_stationary,0.0
ASIANPAINT,BookValue_stationary,0.0357
ASTERDM,Volume_stationary,0.0087
